Episode 0 (training=ppo):
  客户2 -> UAV0, T_i=0.1131, r=-0.1131
  客户7 -> UAV1, T_i=0.0864, r=-0.0864
  客户9 -> UAV2, T_i=0.0090, r=-0.0090
  客户8 -> UAV0, T_i=0.0895, r=-0.0895
  客户4 -> UAV0, T_i=0.1593, r=-0.1593
  客户6 -> UAV0, T_i=0.0549, r=-0.0549
  客户1 -> UAV0, T_i=0.1515, r=-0.1515
  客户0 -> UAV2, T_i=0.0836, r=-0.0836
  客户5 -> UAV0, T_i=0.1358, r=-0.1358
  客户3 -> UAV2, T_i=0.1496, r=-0.1496
Episode 1 (training=ppo):
  客户1 -> UAV2, T_i=0.1515, r=-0.1515
  客户9 -> UAV0, T_i=0.0090, r=-0.0090
  客户6 -> UAV0, T_i=0.0549, r=-0.0549
  客户4 -> UAV2, T_i=0.1593, r=-0.1593
  客户0 -> UAV0, T_i=0.0836, r=-0.0836
  客户5 -> UAV1, T_i=0.1358, r=-0.1358
  客户3 -> UAV0, T_i=0.1496, r=-0.1496
  客户7 -> UAV2, T_i=0.0864, r=-0.0864
  客户8 -> UAV1, T_i=0.0895, r=-0.0895
  客户2 -> UAV1, T_i=0.1131, r=-0.1131
Episode 2 (training=ppo):
  客户9 -> UAV2, T_i=0.0090, r=-0.0090
  客户8 -> UAV2, T_i=0.0895, r=-0.0895
  客户6 -> UAV0, T_i=0.0549, r=-0.0549
  客户0 -> UAV2, T_i=0.0836, r=-0.0836
  客户4 -> UAV0, T_i=0.1593, r=-0.1593
  客户1 -> UAV1, T_i=0.1515, r=-0.1515
  客户5 -> UAV1, T_i=0.1358, r=-0.1358
  客户2 -> UAV1, T_i=0.1131, r=-0.1131
  客户3 -> UAV2, T_i=0.1496, r=-0.1496
  客户7 -> UAV1, T_i=0.0864, r=-0.0864
Episode 3 (training=ppo):
  客户3 -> UAV2, T_i=0.1496, r=-0.1496
  客户8 -> UAV1, T_i=0.0895, r=-0.0895
  客户5 -> UAV0, T_i=0.1358, r=-0.1358
  客户9 -> UAV2, T_i=0.0090, r=-0.0090
  客户1 -> UAV2, T_i=0.1515, r=-0.1515
  客户6 -> UAV2, T_i=0.0549, r=-0.0549
  客户4 -> UAV0, T_i=0.1593, r=-0.1593
  客户2 -> UAV0, T_i=0.1131, r=-0.1131
  客户7 -> UAV2, T_i=0.0864, r=-0.0864
  客户0 -> UAV0, T_i=0.0836, r=-0.0836
Episode 4 (training=ppo):
  客户5 -> UAV0, T_i=0.1358, r=-0.1358
  客户6 -> UAV2, T_i=0.0549, r=-0.0549
  客户7 -> UAV0, T_i=0.0864, r=-0.0864
  客户1 -> UAV1, T_i=0.1515, r=-0.1515
